XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.95746231,40.63416087,9247,1001,3,Brooklyn,076600,30766001001,2335.939175,252585.379881,360470766001001
-73.95949200,40.62174030,9248,1001,3,Brooklyn,076800,30768001001,2511.001941,330201.029909,360470768001001
-73.95128275,40.63464937,9249,1001,3,Brooklyn,077000,30770001001,2168.292474,140686.194653,360470770001001
-73.95368207,40.63458298,9250,1001,3,Brooklyn,077200,30772001001,2306.245019,238142.070507,360470772001001
-73.94975605,40.63304470,9251,1001,3,Brooklyn,077400,30774001001,2116.377281,194026.907649,360470774001001
-73.93882728,40.63570524,9252,1001,3,Brooklyn,078000,30780001001,2180.458967,215871.739742,360470780001001
-73.93907356,40.63801012,9253,1001,3,Brooklyn,078200,30782001001,2228.683790,222001.273719,360470782001001
-73.94261589,40.63546917,9254,1001,3,Brooklyn,078400,30784001001,2200.271724,224280.058764,360470784001001
-73.94932599,40.63527210,9255,1001,3,Brooklyn,078600,30786001001,2013.854831,171848.590910,360470786001001
-73.95184267,40.64026585,9256,1001,3,Brooklyn,079000,30790001001,1241.609427,94759.764502,360470790001001
-73.95334324,40.64579842,9257,1001,3,Brooklyn,079200,30792001001,2152.374683,270659.187754,360470792001001
-73.95383605,40.65011915,9258,1001,3,Brooklyn,079400,30794001001,1756.207463,187410.095982,360470794001001
-73.95807698,40.65596257,9259,1001,3,Brooklyn,079601,30796011001,2142.782075,131775.949237,360470796011001
-73.95752974,40.65326464,9260,1001,3,Brooklyn,079602,30796021001,2696.601753,266243.058685,360470796021001
-73.95878422,40.66070300,9261,1001,3,Brooklyn,079801,30798011001,2622.227257,281434.535869,360470798011001
-73.95533032,40.66168490,9262,1001,3,Brooklyn,080000,30800001001,2435.706546,267332.635258,360470800001001
-73.95501815,40.65877425,9263,1001,3,Brooklyn,080200,30802001001,2380.464593,242071.064981,360470802001001
-73.94924082,40.66129537,9264,1001,3,Brooklyn,080400,30804001001,2151.139062,217839.610020,360470804001001
-73.94419820,40.66237390,9265,1001,3,Brooklyn,080600,30806001001,2131.449467,224263.579150,360470806001001
-73.94344035,40.65668922,9266,1001,3,Brooklyn,080800,30808001001,5509.754201,1320760.885150,360470808001001
-73.94397966,40.66017292,9267,1001,3,Brooklyn,081000,30810001001,2080.563426,204163.195091,360470810001001
-73.93997893,40.65540953,9268,1001,3,Brooklyn,081400,30814001001,1463.995377,124857.514924,360470814001001
-73.94519090,40.65509652,9269,1001,3,Brooklyn,081600,30816001001,3040.334315,483029.948039,360470816001001
-73.94839710,40.65349052,9270,1001,3,Brooklyn,081800,30818001001,2727.483988,449492.323554,360470818001001
-73.95144601,40.65470845,9271,1001,3,Brooklyn,082000,30820001001,2540.229946,374347.885645,360470820001001
-73.94803085,40.64995237,9272,1001,3,Brooklyn,082400,30824001001,1883.842281,177316.683475,360470824001001
-73.94761999,40.64609168,9273,1001,3,Brooklyn,082600,30826001001,1780.235988,163800.786393,360470826001001
-73.94798044,40.64050468,9274,1001,3,Brooklyn,082800,30828001001,1240.462582,94571.958505,360470828001001
-73.94645714,40.64234294,9275,1001,3,Brooklyn,083000,30830001001,2131.795423,128789.086638,360470830001001
-73.94143953,40.64255240,9276,1001,3,Brooklyn,083200,30832001001,2200.757090,218790.986200,360470832001001
-73.93862014,40.64272734,9277,1001,3,Brooklyn,083400,30834001001,2219.161280,226791.895613,360470834001001
